"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"146",2018,1,7,2,153,53,2018-01-07 02:00:00,"2018","January"
"147",2018,1,7,3,143,44,2018-01-07 03:00:00,"2018","January"
"148",2018,1,7,4,136,46,2018-01-07 04:00:00,"2018","January"
"149",2018,1,7,5,121,39,2018-01-07 05:00:00,"2018","January"
"150",2018,1,7,6,112,36,2018-01-07 06:00:00,"2018","January"
"151",2018,1,7,7,106,35,2018-01-07 07:00:00,"2018","January"
"152",2018,1,7,8,105,37,2018-01-07 08:00:00,"2018","January"
"153",2018,1,7,9,120,49,2018-01-07 09:00:00,"2018","January"
"154",2018,1,7,10,118,42,2018-01-07 10:00:00,"2018","January"
"155",2018,1,7,11,136,57,2018-01-07 11:00:00,"2018","January"
"156",2018,1,7,12,152,66,2018-01-07 12:00:00,"2018","January"
"157",2018,1,7,13,157,77,2018-01-07 13:00:00,"2018","January"
"158",2018,1,7,14,164,94,2018-01-07 14:00:00,"2018","January"
"159",2018,1,7,15,170,104,2018-01-07 15:00:00,"2018","January"
"160",2018,1,7,16,172,99,2018-01-07 16:00:00,"2018","January"
"161",2018,1,7,17,174,104,2018-01-07 17:00:00,"2018","January"
"162",2018,1,7,18,174,101,2018-01-07 18:00:00,"2018","January"
"163",2018,1,7,19,175,104,2018-01-07 19:00:00,"2018","January"
"164",2018,1,7,20,172,91,2018-01-07 20:00:00,"2018","January"
"165",2018,1,7,21,166,74,2018-01-07 21:00:00,"2018","January"
"166",2018,1,7,22,163,68,2018-01-07 22:00:00,"2018","January"
"167",2018,1,7,23,161,65,2018-01-07 23:00:00,"2018","January"
"168",2018,1,8,0,151,41,2018-01-08 00:00:00,"2018","January"
"169",2018,1,8,1,129,38,2018-01-08 01:00:00,"2018","January"
"170",2018,1,8,2,122,41,2018-01-08 02:00:00,"2018","January"
"171",2018,1,8,3,122,44,2018-01-08 03:00:00,"2018","January"
"172",2018,1,8,4,125,47,2018-01-08 04:00:00,"2018","January"
"173",2018,1,8,5,137,55,2018-01-08 05:00:00,"2018","January"
"174",2018,1,8,6,146,57,2018-01-08 06:00:00,"2018","January"
"175",2018,1,8,7,149,56,2018-01-08 07:00:00,"2018","January"
"176",2018,1,8,8,153,65,2018-01-08 08:00:00,"2018","January"
"177",2018,1,8,9,154,64,2018-01-08 09:00:00,"2018","January"
"178",2018,1,8,10,154,60,2018-01-08 10:00:00,"2018","January"
"179",2018,1,8,11,154,61,2018-01-08 11:00:00,"2018","January"
"180",2018,1,8,12,154,61,2018-01-08 12:00:00,"2018","January"
"181",2018,1,8,13,151,49,2018-01-08 13:00:00,"2018","January"
"182",2018,1,8,14,147,49,2018-01-08 14:00:00,"2018","January"
